epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,15200.8,1.29619,1.22266,1.54032,0.81052,0.80413,0.84377,0.56104,1.23984,1.04716,1.49933,0.000905557,0.000905557,0.000905557
112,15337.4,1.2875,1.20322,1.53815,0.85343,0.814,0.86,0.57887,1.21235,1.01502,1.48219,0.000900799,0.000900799,0.000900799
113,15474,1.25733,1.18687,1.51194,0.81482,0.82845,0.85844,0.57457,1.20037,1.04509,1.47217,0.00089604,0.00089604,0.00089604
114,15610.6,1.28111,1.20725,1.53263,0.8513,0.82672,0.86987,0.56846,1.22672,1.04565,1.50268,0.000891282,0.000891282,0.000891282
115,15747.2,1.27416,1.20651,1.51277,0.87876,0.78878,0.8659,0.56827,1.22092,1.0432,1.49764,0.000886523,0.000886523,0.000886523
116,15883.9,1.27597,1.20106,1.50587,0.85352,0.80566,0.86288,0.5705,1.22879,1.045,1.48721,0.000881764,0.000881764,0.000881764
117,16020.5,1.22415,1.13858,1.49368,0.83417,0.80149,0.85521,0.5702,1.21993,1.02364,1.47741,0.000877006,0.000877006,0.000877006
118,16157.3,1.28023,1.20138,1.53102,0.83403,0.84407,0.86514,0.57956,1.19334,0.99702,1.45895,0.000872247,0.000872247,0.000872247
119,16293.9,1.27201,1.20619,1.5355,0.7899,0.83116,0.85381,0.55234,1.24385,1.09019,1.51074,0.000867489,0.000867489,0.000867489
120,16430.6,1.22904,1.18205,1.49481,0.87063,0.81904,0.86974,0.59164,1.19262,0.98639,1.46282,0.00086273,0.00086273,0.00086273
121,16567.2,1.26167,1.21045,1.52169,0.85676,0.81112,0.8622,0.57309,1.22332,1.02515,1.48753,0.000857972,0.000857972,0.000857972
122,16704,1.25184,1.16296,1.50759,0.86431,0.82173,0.87253,0.58247,1.18925,0.96632,1.46358,0.000853213,0.000853213,0.000853213
123,16840.6,1.25754,1.19524,1.50001,0.82367,0.82483,0.86567,0.56931,1.20446,1.01263,1.48097,0.000848454,0.000848454,0.000848454
124,16977.2,1.25487,1.16962,1.50176,0.86346,0.83231,0.87492,0.58955,1.19879,0.94184,1.46329,0.000843696,0.000843696,0.000843696
125,17114,1.23329,1.14833,1.50364,0.86632,0.81962,0.8688,0.59386,1.17604,0.97725,1.44915,0.000838937,0.000838937,0.000838937
126,17250.8,1.21579,1.11867,1.48107,0.8539,0.82809,0.86977,0.59264,1.17808,0.95456,1.46672,0.000834179,0.000834179,0.000834179
127,17387.6,1.25503,1.14419,1.50326,0.87431,0.83206,0.88082,0.59023,1.17958,0.96619,1.45623,0.00082942,0.00082942,0.00082942
128,17524.3,1.23583,1.1297,1.47124,0.87612,0.80943,0.87444,0.58892,1.18882,0.9751,1.47299,0.000824662,0.000824662,0.000824662
129,17661,1.22053,1.15246,1.48398,0.86428,0.8177,0.86157,0.5834,1.19843,1.00347,1.46123,0.000819903,0.000819903,0.000819903
130,17797.6,1.24127,1.13383,1.48546,0.85204,0.81092,0.86873,0.57935,1.2081,0.9494,1.46652,0.000815144,0.000815144,0.000815144
131,17934.3,1.21571,1.12509,1.47677,0.85274,0.82637,0.86212,0.57976,1.18879,0.96232,1.45797,0.000810386,0.000810386,0.000810386
132,18071,1.23306,1.12755,1.48895,0.87568,0.81928,0.88171,0.59128,1.17313,0.96144,1.45555,0.000805627,0.000805627,0.000805627
133,18207.8,1.25775,1.14191,1.48606,0.87616,0.84142,0.89253,0.59594,1.18678,0.91158,1.44647,0.000800869,0.000800869,0.000800869
134,18344.5,1.19041,1.10248,1.47125,0.866,0.83973,0.8874,0.59174,1.19768,0.93234,1.47888,0.00079611,0.00079611,0.00079611
135,18481.1,1.23305,1.12286,1.47862,0.88818,0.82366,0.88211,0.59329,1.17476,0.95053,1.45479,0.000791352,0.000791352,0.000791352
136,18617.8,1.23305,1.13719,1.47328,0.87734,0.83164,0.88936,0.60577,1.16965,0.96427,1.43537,0.000786593,0.000786593,0.000786593
137,18754.4,1.21191,1.12104,1.46315,0.87681,0.83307,0.88747,0.5915,1.16605,0.98291,1.44899,0.000781834,0.000781834,0.000781834
138,18891.2,1.2197,1.10329,1.46041,0.86717,0.82837,0.87904,0.59452,1.17414,0.92659,1.453,0.000777076,0.000777076,0.000777076
139,19028.1,1.23978,1.12914,1.47878,0.87574,0.82334,0.87912,0.58773,1.18309,0.95771,1.44463,0.000772317,0.000772317,0.000772317
140,19164.9,1.21012,1.11244,1.47099,0.88477,0.81213,0.8736,0.59816,1.18435,0.93987,1.46147,0.000767559,0.000767559,0.000767559
141,19301.5,1.20733,1.09221,1.48654,0.84704,0.83838,0.87242,0.60339,1.15401,0.92422,1.43504,0.0007628,0.0007628,0.0007628
142,19438.1,1.19365,1.14049,1.47219,0.88724,0.82974,0.8884,0.59491,1.16048,0.92811,1.44195,0.000758042,0.000758042,0.000758042
143,19574.9,1.19186,1.09288,1.45386,0.88395,0.83264,0.88541,0.6088,1.15188,0.91049,1.4298,0.000753283,0.000753283,0.000753283
144,19711.6,1.16257,1.08729,1.44541,0.86529,0.8481,0.88914,0.60788,1.15781,0.89807,1.43629,0.000748524,0.000748524,0.000748524
145,19848.3,1.17022,1.05516,1.44795,0.87895,0.82829,0.88618,0.60111,1.16312,0.90566,1.43625,0.000743766,0.000743766,0.000743766
146,19985,1.18078,1.06557,1.44817,0.88284,0.83131,0.88415,0.6026,1.14839,0.89044,1.41541,0.000739007,0.000739007,0.000739007
147,20121.8,1.17281,1.05031,1.43658,0.88664,0.8403,0.88883,0.60657,1.1395,0.90149,1.4209,0.000734249,0.000734249,0.000734249
148,20258.4,1.16646,1.05199,1.43969,0.89678,0.82317,0.88108,0.60436,1.13183,0.877,1.40859,0.00072949,0.00072949,0.00072949
149,20395.3,1.17557,1.06369,1.43673,0.88497,0.85811,0.89912,0.61942,1.12213,0.87226,1.39071,0.000724732,0.000724732,0.000724732
150,20531.9,1.17895,1.04687,1.42613,0.8821,0.82618,0.88484,0.60246,1.14764,0.89294,1.42519,0.000719973,0.000719973,0.000719973
